row,Source,Year,Date,WBType,WaterBody,State,Mean_x,Mean_y,SiteName,SiteCode,SiteHist,BS_Pres,CStatus,cOccu,PointType
129,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,7/29/2010,LakePond,Lake Winnipesaukee,NH,310246.8964,4838355.982,20100729-1030-BS-Winnipesaukee Lake-Moultonborough-DIPNET,20100729-1030-BS-Winnipesaukee Lake-Moultonborough-DIPNET,Presence/Absence survey targetting bridle shiners.  BS captured and observed in all vegetated coves of Lake Winnipesauke in the town of Moultonborough.  All coves treated for milfoil with herbicide in the fall of 2010.,Historically present in waterbody,Present,1,GPS survey coordinates
130,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,7/29/2010,LakePond,Lake Winnipesaukee,NH,307474.4299,4845060.324,20100729-1130-BS-Winnipesaukee Lake-Moultonborough-DIPNET,20100729-1130-BS-Winnipesaukee Lake-Moultonborough-DIPNET,Presence/Absence survey targetting bridle shiners.  BS captured and observed in all vegetated coves of Lake Winnipesauke in the town of Moultonborough.  All coves treated for milfoil with herbicide in the fall of 2010.,Historically present in waterbody,Present,1,GPS survey coordinates
131,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,9/14/2010,StreamRiver,Lamprey River,NH,319671.245,4768919.753,20100914-1000-BS-Lamprey River-Raymond-DIPNET,20100914-1000-BS-Lamprey River-Raymond-DIPNET,Only targeted BS.  Other species not recorded.,Historically present in river,Present,1,GPS survey coordinates
132,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,9/14/2010,StreamRiver,Lamprey River,NH,318991.3266,4769404.492,20100914-1200-BS-Lamprey River-Raymond-DIPNET,20100914-1200-BS-Lamprey River-Raymond-DIPNET,Only targeted BS.  Other species not recorded.,Historically present in river,Present,1,GPS survey coordinates
243,"M. Carpenter, NHFGD, written communication, 7 February 2023",2011,7/22/2011,StreamRiver,Lamprey River,NH,326474.2969,4767363.948,20110722-1100-BS-Lamprey River-Epping-SEINE,BS-Lamprey River-Epping-MEANCENTER,"BS very abundant in pool above bridge.  Fish concentrated in small channel in large mud flat due to drained impoundment in preparation for Bunker Pond Dam removal.  Some veg (floating heart) left in pool, but most of channel through old impoundment is sh",Historically present in vicinity of coordinates,Present,1,Mean center point of 2+ surveys at this location
133,"M. Carpenter, NHFGD, written communication, 7 February 2023",2011,8/11/2011,StreamRiver,Lamprey River,NH,324722.3792,4765502.703,20110811-930-BS-Lamprey River-Raymond-DIPNET,20110811-930-BS-Lamprey River-Raymond-DIPNET,"BS captured in small cove upstream from Prescott Rd bridge.  Paddled upstream - BS not captured again, despite suitable habitat, until upstream of deep pool in river known as Dead Pond.  BS observed in floating heart along edges of channel until river be",Historically present in river,Present,1,GPS survey coordinates
134,"M. Carpenter, NHFGD, written communication, 7 February 2023",2011,8/23/2011,StreamRiver,Lamprey River,NH,321419.089,4767075.86,20110823-1100-BS-Lamprey River-Raymond-DIPNET,20110823-1100-BS-Lamprey River-Raymond-DIPNET,"BS captured in vegetation along margins of ponded area of Lamprey River upstream of Main Street bridge in Raymond.  BS less abundant and patchy in this reach compared to populations upstream.  Very few larger individuals observed.  No BS observed, despit",Historically present in river,Present,1,GPS survey coordinates
135,"M. Carpenter, NHFGD, written communication, 7 February 2023",2012,8/1/2012,StreamRiver,Jones Brook,NH,333249.682,4816854.282,20120801-1030-BS-Jones Brook-Middleton-DIPNET,20120801-1030-BS-Jones Brook-Middleton-DIPNET,BS relatively abundant in pool upstream of Ridge Road. Bridle shiner habitat remains largely intact throughout the Jones Brook watershed.  One of the least impacted watersheds in New Hampshire in terms of bridle shiner habitat.,Current,Present,1,GPS survey coordinates
136,"M. Carpenter, NHFGD, written communication, 7 February 2023",2012,8/1/2012,StreamRiver,Jones Brook,NH,333750.5624,4817084.152,20120801-1200-BS-Jones Brook-Middleton-DIPNET,20120801-1200-BS-Jones Brook-Middleton-DIPNET,BS found among shrubs in wetland flooded by beaver dam downstream of Ridge Road.  Unusual to see schools of BS in shrub wetland (sweet gale/meadowsweet) away from typical aquatic plant habitat.,Current,Present,1,GPS survey coordinates
137,"M. Carpenter, NHFGD, written communication, 7 February 2023",2012,8/1/2012,StreamRiver,Jones Brook,NH,332843.6688,4817219.972,20120801-1330-BS-Jones Brook-Middleton-DIPNET,20120801-1330-BS-Jones Brook-Middleton-DIPNET,"Healthy population of BS in remote beaver impounded wetland accessed from gated snowmobile trail off of Ridge Road.  Multiple age classes among floating heart and other aquatic veg. Also observed CCS, ECP, and FF.",Current,Present,1,GPS survey coordinates
138,"M. Carpenter, NHFGD, written communication, 7 February 2023",2012,8/1/2012,StreamRiver,Jones Brook,NH,334801.832,4816368.153,20120801-900-BS-Jones Brook-Middleton-DIPNET,20120801-900-BS-Jones Brook-Middleton-DIPNET,BS found upstream of beaver pond using dip nets.  One dead individual observed.,Current,Present,1,GPS survey coordinates
238,"M. Carpenter, NHFGD, written communication, 7 February 2023",2012,8/2/2012,StreamRiver,Branch River,NH,340367.3368,4813997.938,20120802-1300-BS-Branch River-Milton-DIPNET,BS-Branch River-Milton-MEANCENTER,BS  extremely abundant among shallow grassy vegetation at the mouth of the Branch River in Northeast Pond in Milton.,Current,Present,1,Mean center point of 2+ surveys at this location
246,"M. Carpenter, NHFGD, written communication, 7 February 2023",2012,8/6/2012,LakePond,Lake Winnipesaukee,NH,303216.2875,4842551.671,20120806-1100-BS-Winnipesaukee Lake-Moultonborough-DIPNET,BS-Winnipesaukee Lake-Blackeys Cove-MEANCENTER,Recently treated with herbicide for milfoil control.  Very turbid compared to clear water observed in previous surveys.  BS restricted to small remaining patch of milfoil.  No BS observed in sparse remaining pond lily and other scattered plants. Populati,Historically present in vicinity of coordinates,Present,1,Mean center point of 2+ surveys at this location
139,"M. Carpenter, NHFGD, written communication, 7 February 2023",2012,8/17/2012,StreamRiver,Lamprey River,NH,326778.738,4767701.272,20120817-800-BS-Lamprey River-Epping-DIPNET,20120817-800-BS-Lamprey River-Epping-DIPNET,"Population of BS found in small, shallow manmade pond in tributary of Lamprey River just downstream of large pool below the old Bunker Pond Dam.  Large adult BS concentrated in patches of narrow leaf pondweed and coontail.  Other observed species noted.",Historically present in river,Present,1,GPS survey coordinates
140,"M. Carpenter, NHFGD, written communication, 7 February 2023",2013,5/9/2013,LakePond,Lake Winnipesaukee,NH,307547.8994,4844393.916,20130509-1100-BS-Winnipesaukee Lake-Moultonborough-DIPNET,20130509-1100-BS-Winnipesaukee Lake-Moultonborough-DIPNET,Checked cove due south of Lees Mills boat launch.  Bridle shiners were present a small school very close to shoreline.  Aquatic vegetation was minimal at this point (early in the year).  Most fish were found in the vacinity of accumulated debris (small w,Historically present in waterbody,Present,1,GPS survey coordinates
141,"M. Carpenter, NHFGD, written communication, 7 February 2023",2013,6/3/2013,StreamRiver,Seaver Brook,NH,329401.5689,4743960.935,20130603-1200-EBTJV-Seaver Brook-Plaistow-EFISH,20130603-1200-EBTJV-Seaver Brook-Plaistow-EFISH,"Small stream with sand and gravel substrate.  Meandering through a forested wetland having shrubs (alder, rose, barberry, and dogwood) along it's edges.  Small culvert creates a rock lined scour pool.  One bridle shiner was caught in untraditional habita",Current,Present,1,GPS survey coordinates
142,"M. Carpenter, NHFGD, written communication, 7 February 2023",2013,7/18/2013,LakePond,Crystal Lake,NH,312048.5608,4813772.916,20130718-1000-BS-Crystal Lake-Gilmanton-DIPNET,20130718-1000-BS-Crystal Lake-Gilmanton-DIPNET,A small number of bridle shiners were found in the cove on Crystal Lake that is separated from the mainlake by Crystal Lake Rd.  This cove looked ideal for bridle shiners (dense vegetation with multiple species).  Nelson Brook enters this cove.  We canoe,Current,Present,1,GPS survey coordinates
143,"M. Carpenter, NHFGD, written communication, 7 February 2023",2013,7/23/2013,StreamRiver,Isinglass River,NH,332102.7913,4788899.629,20130723-1300-BS-Isinglass River-Barrington-DIPNET,20130723-1300-BS-Isinglass River-Barrington-DIPNET,Found one bridle shiner on river right side near a large school of golden shiners along the edge of a patch of floating heart.  Deep river section isolated by natural gradient break.  Pondweed and floating heart in the channel and along margins and backw,Historically present in river,Present,1,GPS survey coordinates
144,"M. Carpenter, NHFGD, written communication, 7 February 2023",2013,8/6/2013,LakePond,Garland Pond,NH,306200.1109,4846807.992,20130806-1200-BS-Garland Pond-Moultonborough-DIPNET,20130806-1200-BS-Garland Pond-Moultonborough-DIPNET,Good example of a pond habitat with minimal impact for bridle shiners.  We found bridle shiners immediately.  They appear to be abundant in areas with dense vegetation but not necessarily widespread.   Vegetation seems more dense and abundant along the l,Current,Present,1,GPS survey coordinates
145,"M. Carpenter, NHFGD, written communication, 7 February 2023",2013,8/12/2013,StreamRiver,Jones Brook,NH,337823.9438,4813436.506,20130812-1000-BS-Jones Brook-Milton-DIPNET,20130812-1000-BS-Jones Brook-Milton-DIPNET,Bridle shiners were found in backwater of large swamp accessed from gravel pit.  Observed school over native milfoil patch lined with pickerel weed.  The area appears to be influenced by beavers.,Current,Present,1,GPS survey coordinates
146,"M. Carpenter, NHFGD, written communication, 7 February 2023",2013,8/12/2013,StreamRiver,Jones Brook,NH,335218.0003,4815055.532,20130812-1200-BS-Jones Brook-Milton-DIPNET,20130812-1200-BS-Jones Brook-Milton-DIPNET,Bridle shiners were very abundant in wetland downstream from Rt 153.   They were easily captured in watershield and corse grass vegetation in main channel above and below the remnants of a beaver dam.  Habitat looks excellent throughout reach.,Current,Present,1,GPS survey coordinates
147,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,7/23/2014,LakePond,Northeast Pond,NH,342338.2315,4810896.899,20140723-1000-BS-Northeast Pond-Milton-DIPNET,20140723-1000-BS-Northeast Pond-Milton-DIPNET,BS found in small vegetated cove at eastern shore of Northeastern Pond,Current,Present,1,GPS survey coordinates
148,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,7/23/2014,LakePond,Northeast Pond,NH,341557.6213,4814409.989,20140723-800-BS-Northeast Pond-Milton-DIPNET,20140723-800-BS-Northeast Pond-Milton-DIPNET,"Abundant BS found at northern end of Northeast Pond, at the inlet of the Salmon Falls River.  Very similar to habitat and BS abundance at the mouth of the Branch River to the southwest.",Current,Present,1,GPS survey coordinates
149,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,8/27/2014,StreamRiver,Exeter River,NH,329048.8913,4758826.507,20140827-1000-BS-Exeter River-Fremont-DIPNET,20140827-1000-BS-Exeter River-Fremont-DIPNET,BS surveyed by canoe in Exeter River in reach between 2 dams upstream and downstream of BS record from 2006.,Historically present in river,Present,1,GPS survey coordinates
150,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,8/27/2014,StreamRiver,Exeter River,NH,326844.8503,4759905.291,20140827-800-BS-Exeter River-Fremont-DIPNET,20140827-800-BS-Exeter River-Fremont-DIPNET,BS surveyed by canoe in Exeter River in reach between 2 dams upstream and downstream of BS record from 2006.,Historically present in river,Present,1,GPS survey coordinates
151,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,9/8/2014,StreamRiver,Cocheco River,NH,330772.4211,4809004.688,20140908-800-BS-Cocheco River-Farmington-DIPNET,20140908-800-BS-Cocheco River-Farmington-DIPNET,"Abundant BS found in isolated wetland separated from downstream population by high gradient rocky stream.  Clear water, floating heart, pondweed, pipewort, over rocky/gravel bottom near outlet.",Historically present in river,Present,1,GPS survey coordinates
152,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,9/9/2014,StreamRiver,Warren Brook,NH,328940.1968,4828228.178,20140909-1000-BS-Warren Brook-Wolfeboro-DIPNET,20140909-1000-BS-Warren Brook-Wolfeboro-DIPNET,BS caught in Warren Brook accessed from west end of Wentworth Lake by pulling boat over beach.,Current,Present,1,GPS survey coordinates
153,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,9/9/2014,LakePond,Lake Wentworth,NH,327301.4244,4830529.61,20140909-1200-BS-Wentworth Lake-Wolfeboro-DIPNET,20140909-1200-BS-Wentworth Lake-Wolfeboro-DIPNET,BS caught in small vegetated cove in Wentworth Lake near inlet of Ryefield Marsh.,Current,Present,1,GPS survey coordinates
154,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,9/9/2014,StreamRiver,Ryefield Brook,NH,327387.4435,4830765.228,20140909-1300-BS-Ryefield Brook-Wolfeboro-DIPNET,20140909-1300-BS-Ryefield Brook-Wolfeboro-DIPNET,"BS caught immediately in thick pondweed, watershield, and pond lilly encountered after passing under bridge to access Ryefield Marsh from Lake Wentworth.",Current,Present,1,GPS survey coordinates
155,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,9/9/2014,LakePond,Lake Wentworth,NH,323742.7175,4828391.677,20140909-800-BS-Wentworth Lake-Wolfeboro-DIPNET,20140909-800-BS-Wentworth Lake-Wolfeboro-DIPNET,BS caught in vegetated cove where Heath Brook enters at the southern shore of Wentworth Lake.  Divers were pulling milfoil during the survey.,Current,Present,1,GPS survey coordinates
156,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,9/29/2014,StreamRiver,Coffin Brook,NH,319743.7356,4809648.235,20140929-1000-BS-Coffin Brook-Alton-DIPNET,20140929-1000-BS-Coffin Brook-Alton-DIPNET,"BS captured by Ben Nugent and volunteer in large, low gradient, wetland stream.  Separated from upstream populations by a short, high gradient, rocky reach.",Current,Present,1,GPS survey coordinates
157,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,9/29/2014,StreamRiver,Coffin Brook,NH,321000.7629,4810063.762,20140929-1200-BS-Coffin Brook-Alton-DIPNET,20140929-1200-BS-Coffin Brook-Alton-DIPNET,"BS found in Coffin Brook accessed from Rt. 28.  Wide, low gradient, wetland stream impounded by large boulders.  Shallow with abundant submerged aquatic vegetation.  History of beaver activity throughout Coffin Brook.",Current,Present,1,GPS survey coordinates
158,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,9/29/2014,StreamRiver,Coffin Brook,NH,321739.8084,4810226.455,20140929-1300-BS-Coffin Brook-Alton-DIPNET,20140929-1300-BS-Coffin Brook-Alton-DIPNET,"BS captured in small backwater of Coffin Brook accessed from a private canoe launch at the end of Mallard Drive.  The extent of the polygon is conservative and does not include suitable habitat downstream, where BS were not found in a previous survey.",Current,Present,1,GPS survey coordinates
159,"M. Carpenter, NHFGD, written communication, 7 February 2023",2014,9/29/2014,StreamRiver,Coffin Brook,NH,319216.8397,4810694.837,20140929-800-BS-Coffin Brook-Alton-DIPNET,20140929-800-BS-Coffin Brook-Alton-DIPNET,"Paddled upstream from previous record below Coffin Brook Road crossing.  Found BS in shallow wetland stream channel among coontail, watershield, pondweed, and other grasslike veg.  Other fish species obs. included GS, FF, ECP, LMB, and CCS.",Current,Present,1,GPS survey coordinates
160,NH Fish StoryMap,2015,6/2/2015,StreamRiver,Connecticut River,NH,233591.6344,4840682.895,20150602-Connecticut River-Lebanon-EBOAT,20150602-Connecticut River-Lebanon-EBOAT,2015 Fish Survey Presence Absence Data,Current,Present,1,Digitized from NH Fish survey map (StoryMap)
161,"M. Carpenter, NHFGD, written communication, 7 February 2023",2015,7/23/2015,StreamRiver,Powwow River,NH,337701.323,4749517.04,20150723-1030-BS-Powwow River-South Hampton-DIPNET,20150723-1030-BS-Powwow River-South Hampton-DIPNET,"Excellent habitat for BS other than poor water clarity.  Undeveloped shoreline, abundant aquatic vegetation in coves, very little flow.  Elodea, water lily, pond weed, water shield, possible native milfoil. No floating heart.  Substrate is mud/clay and w",Historically present in river,Present,1,GPS survey coordinates
162,NH Fish StoryMap,2015,7/28/2015,StreamRiver,Connecticut River,NH,242281.2771,4852017.77,20150728-Connecticut River-Lyme-EBOAT,20150728-Connecticut River-Lyme-EBOAT,2015 Fish Survey Presence Absence Data,Current,Present,1,Digitized from NH Fish survey map (StoryMap)
163,NH Fish StoryMap,2015,7/30/2015,StreamRiver,Connecticut River,NH,240077.3361,4849457.38,20150730-Connecticut River-Hanover-EBOAT,20150730-Connecticut River-Hanover-EBOAT,2015 Fish Survey Presence Absence Data,Current,Present,1,Digitized from NH Fish survey map (StoryMap)
164,NH Fish StoryMap,2015,9/15/2015,StreamRiver,Connecticut River,NH,219943.7043,4785825.362,20150915-Connecticut River-Charlestown-EBOAT,20150915-Connecticut River-Charlestown-EBOAT,2015 Fish Survey Presence Absence Data,Current,Present,1,Digitized from NH Fish survey map (StoryMap)
165,"M. Carpenter, NHFGD, written communication, 7 February 2023",2015,9/24/2015,LakePond,Unnamed pond,NH,299996.8204,4847940.683,20150924-1015-BS-unnamed pond-Moultonborough-DIPNET,20150924-1015-BS-unnamed pond-Moultonborough-DIPNET,Found BS quickly along edges of deeper section at north end of wetland/pond that borders Bean Road.  Habitat looks good throughout.  Unnamed wetland/pond drains south to Wakondah Pond and eventually to Lake Kanasatka.  John Magee and Jason Carrier helped,Current,Present,1,GPS survey coordinates
166,"M. Carpenter, NHFGD, written communication, 7 February 2023",2015,10/8/2015,LakePond,Unnamed pond,NH,300604.3677,4845925.476,20151008-1230-BS-Heron Pond-Moultonborough-DIPNET,20151008-1230-BS-Heron Pond-Moultonborough-DIPNET,"BS caught between beaver dams.  Small school of BS observed in shallow water among possible native milfoil, pipewort, and watershield.  No BS observed in small circular pond just upstream.  Landowner had beavers trapped and is now attempting to maintain",Current,Present,1,GPS survey coordinates
167,"M. Carpenter, NHFGD, written communication, 7 February 2023",2016,8/30/2016,StreamRiver,South River,NH,338958.3537,4840537.621,20160830-1230-BS-South River-Effingham-DIPNET,20160830-1230-BS-South River-Effingham-DIPNET,"No BS at outlet of Provence Lake.  Flow is controlled by small check dam.  Sandy/clay channel surrounded by pickerel weed.  CSF, ECP, FF and LMB observed.",No historical record of occupancy,Absent,0,GPS survey coordinates
168,"M. Carpenter, NHFGD, written communication, 7 February 2023",2016,8/30/2016,StreamRiver,Copp Brook,NH,338388.34,4826563.608,20160830-930-BS-Copp Brook-Wakefield-DIPNET,20160830-930-BS-Copp Brook-Wakefield-DIPNET,"No BS found.  Habitat looked good from about 500 m upstream of bridge to about 0.2 miles upstream of Great East Lake.  Lake is drawn down, but not excessively.  CSF, ECP, GS, LMB and YP observed.",No historical record of occupancy,Absent,0,GPS survey coordinates
169,"M. Carpenter, NHFGD, written communication, 7 February 2023",2016,9/22/2016,LakePond,Copps Pond,NH,316279.1735,4838672.531,20160922-1130-BS-Copps Pond-Tuftonboro-DIPNET,20160922-1130-BS-Copps Pond-Tuftonboro-DIPNET,"Very shallow pond with thick vegetation.  Habitat looks suitable, but BS not found.  Was once managed for trout.  Should check for history of rotenone treatment.  Other nontarget species observed but not recorded.",No historical record of occupancy,Absent,0,GPS survey coordinates
170,"M. Carpenter, NHFGD, written communication, 7 February 2023",2016,9/22/2016,LakePond,Berry Pond,NH,307391.3613,4847845.61,20160922-900-BS-Berry Pond-Moultonborough-DIPNET,20160922-900-BS-Berry Pond-Moultonborough-DIPNET,"Habitat looked good, but no BS found.  Strange that BS would be in the adjacent, and very similar, Garland Pond, but not in Berry Pond.  Other nontarget species observed but not recorded.",No historical record of occupancy,Absent,0,GPS survey coordinates
171,"M. Carpenter, NHFGD, written communication, 7 February 2023",2017,8/14/2017,StreamRiver,Salmon Falls River,NH,342011.5032,4819285.828,20170814-1030-BS-Salmon Falls River-Milton-DIPNET,20170814-1030-BS-Salmon Falls River-Milton-DIPNET,"No BS captured despite quality habitat and abundant population downstream at confluence with Northeast Pond. Floating heart, water shield, pondweed, and bladderwort present.  Grass-like vegetation very similar to habitat observed in Northeast Pond.  Shou",No historical record of occupancy,Absent,0,GPS survey coordinates
172,"M. Carpenter, NHFGD, written communication, 7 February 2023",2017,8/14/2017,LakePond,Union Meadows Pond,NH,336297.88,4818782.737,20170814-1230-BS-Union Meadows Pond-Wakefield-DIPNET,20170814-1230-BS-Union Meadows Pond-Wakefield-DIPNET,"No BS observed despite excellent habitat at northern end of pond.  Floating heart, bladderwort, grass-like vegetation abundant. Surveyed along RR tracks and into river channel.",No historical record of occupancy,Absent,0,GPS survey coordinates
173,"M. Carpenter, NHFGD, written communication, 7 February 2023",2017,9/13/2017,StreamRiver,Suncook River,NH,308337.6814,4790513.539,20170913-1100-BS-Suncook River-Epsom-DIPNET,20170913-1100-BS-Suncook River-Epsom-DIPNET,Milfoil and pondweed at mouth of backwater. No vegetation in backwater channel behind remnant beaver dam (may be dry at lower flow). CS observed feeding in schools at mouth of backater. No BS observed.  LMB were YOY.,Historically present in the river and surrounding watershed,Absent,0,GPS survey coordinates
