Date,Site.Name,subm,emerg,float,open,subm.complex,subm.simple,subm.grasslike,emerg.persist,emerg.cattail,emerg.broad,Updates
7/27/2022,OSSIPR,9,1,0,90,1,49,50,0,0,100,
7/27/2022,PRESBG,60,0,20,20,1,89,10,0,0,0,
7/27/2022,PRESUM,10,10,80,0,20,70,10,0,0,100,Reclassified submerged veg to be consistent with other sites. Eriocaulon should be under simple leaf
7/27/2022,WATBRK,30,10,0,60,80,10,10,100,0,0,
7/29/2022,CARBRK,20,0,0,80,95,5,0,0,0,0,Reclassified submerged veg to be consistent with other sites. Nasturtium should be in the simple leaf subcategory
7/29/2022,DUCKIN,70,25,5,0,40,10,50,10,5,85,
7/29/2022,DUCKNO,10,0,0,90,95,0,5,0,0,0,Reclassified submerged veg to be consistent with other sites. Moss should be in the complex leaf subcategory
8/3/2022,HEATH-02,70,5,20,5,5,5,90,0,0,100,
8/3/2022,PANTHR-01,70,10,0,20,0,10,90,0,50,50,
8/3/2022,PANTHR-02,50,5,45,0,90,5,5,0,0,100,
8/3/2022,PANTHR-03,40,10,40,10,50,5,45,10,10,80,
8/5/2022,MERRIL,20,5,0,75,0,10,90,10,5,85,
8/5/2022,RACHEL,10,10,0,80,0,0,100,0,50,50,
8/5/2022,REDBRK,1,0,0,99,0,5,95,0,0,0,
8/12/2022,BRADPD-01,40,30,20,10,5,5,90,0,0,100,
8/12/2022,BRADPD-02,80,1,19,0,49,1,50,20,0,80,Reclassified submerged veg to be consistent with other sites. Eriocaulon should be under simple leaf
8/12/2022,CROOKN,40,10,10,40,10,10,80,0,0,100,
8/12/2022,MOSQPD,80,10,10,0,90,9,1,0,0,100,Reclassified submerged veg to be consistent with other sites. Eleocharis acicularis should be under mat-forming & grass-like
8/15/2022,BUCKBR,80,10,5,5,80,0,20,0,0,100,
8/15/2022,MUDNO,30,30,30,10,10,10,80,10,0,90,
8/15/2022,SHEPR,10,0,0,90,20,10,70,0,0,0,"Reclassified submerged veg to be consistent with other sites. Callitriche spp. and Elodea spp. should be under complex leaf, not grass-like"
9/21/2022,HALEY,60,0,0,40,0,10,90,0,0,0,
9/25/2022,BARKER,85,10,5,0,10,1,89,90,0,10,Reclassified submerged veg to be consistent with other sites. Eriocaulon should be under simple leaf
9/25/2022,SACONO-03,85,5,5,5,30,0,70,0,0,100,I think I included P. natans as submerged simple leaf when it should just be floating
9/28/2022,CHANBR,30,10,5,55,0,0,100,0,0,100,"Reclassified submerged veg to be consistent with other sites. Potamogeton robbinsii should be mat-forming & grass-like, unknown pondweed looks like P. natans but has some grass-like submerged leaves."
9/28/2022,EDDYBR,1,5,0,94,0,0,100,0,0,100,
9/28/2022,PISCDN,9,1,5,85,1,1,98,100,0,0,"Reclassified submerged veg to be consistent with other sites. Callitriche spp. should be under complex leaf, not grass-like. Added floating cover from Potamogeton epihydrus"
9/28/2022,PISCUP,20,10,0,70,0,5,95,0,40,60,
10/2/2022,OTTER-01,1,1,1,97,99,0,1,0,0,100,
10/2/2022,OTTER-02,10,0,5,85,50,0,50,0,0,0,"Reclassified submerged veg to be consistent with other sites. Potamogeton epihydrus should be mat-forming & grass-like, MOSS1 should be complex-leaf"
10/2/2022,SOKOLK-01,10,0,0,90,30,0,70,0,0,0,
10/2/2022,SOKOLK-02,80,0,5,15,0,0,100,0,0,0,
10/2/2022,SOKOLK-03,70,25,5,0,5,5,90,90,0,10,
10/5/2022,CRESLK-01,40,10,5,45,10,70,20,0,0,100,
10/5/2022,CRESLK-02,85,5,5,5,10,0,90,0,0,100,
10/5/2022,CRESLK-03,30,1,0,69,10,0,90,0,0,100,
10/5/2022,RANGE-01,60,10,5,25,20,1,79,70,0,30,Reclassified submerged veg to be consistent with other sites. Eriocaulon should be under simple leaf
10/5/2022,RANGE-02,85,10,5,0,10,10,80,80,5,15,
10/11/2022,BUFFBR,30,30,1,39,20,5,75,90,0,10,
10/11/2022,MUDSO,30,30,30,10,15,5,80,90,0,10,
10/11/2022,RIDGEB,0,30,0,70,0,0,0,30,50,20,
10/11/2022,SYMMES-01,30,10,50,10,1,80,19,0,0,100,"Proportions of submerged, emergent, floating, open seemed off"
10/11/2022,SYMMES-02,30,10,50,10,1,70,29,0,0,100,"Proportions of submerged, emergent, floating, open seemed off"
